TIME,QUATERNION_0,QUATERNION_1,QUATERNION_2,QUATERNION_3
1573672000,0.707111284923294,-0.7071022771926135,-1.2711107415446472e-05,1.2711269341430788e-05
1573680000,0.7071154996325809,-0.7070980625314596,-8.474022278846767e-06,8.47423124898996e-06
1573688000,0.7070985570820022,-0.7071150051954425,0.0,0.0
1573696000,0.7071070142525845,-0.7071065477142102,-1.6948247936806175e-05,1.6948259119007874e-05
1573704000,0.707123810969608,-0.707089750587103,-1.694784533570489e-05,1.6948661710280094e-05
1573712000,0.7071238111727245,-0.7070897507902099,0.0,0.0
1573720000,0.7071154994802452,-0.7070980623791276,-1.694804455647648e-05,1.694846249676284e-05
1573728000,0.7070941732868246,-0.7071193879474862,-2.54228335520287e-05,2.5421927017528302e-05
1573736000,0.707123810969608,-0.707089750587103,-1.694784533570489e-05,1.6948661710280094e-05
1573744000,0.7071070144049184,-0.7071065478665439,-8.474123969011621e-06,8.474129560112468e-06
1573752000,0.7071026539590105,-0.7071109081614959,-1.2711262568634494e-05,1.2711114188325439e-05
1573760000,0.7071322957418031,-0.7070812647965807,-2.542146292277363e-05,2.542329762176294e-05
1573768000,0.7071070422080414,-0.7071065197587338,-1.694824726675674e-05,1.694825978905685e-05
1573776000,0.7071239566512943,-0.7070896048983693,-1.6947841843771755e-05,1.6948665202044314e-05
1573784000,0.7071238668791924,-0.707089694674821,-1.6947843995574156e-05,1.6948663050346173e-05
1573792000,0.7071238110584716,-0.7070897506759622,-1.2710882234586742e-05,1.2711494515433018e-05
1573800000,0.7071070142525845,-0.7071065477142102,-1.6948247936806175e-05,1.6948259119007874e-05
1573808000,0.7071153819428626,-0.7070981803012274,4.152815896884069e-06,-4.152916922813457e-06
1573816000,0.7071197143040522,-0.7070938478324894,0.0,0.0
1573824000,0.7070985291135156,-0.7071150331378888,-4.237114596841754e-06,4.237015702829743e-06
1573832000,0.7070984439462212,-0.7071151174145819,-2.542268001494705e-05,2.5422080559157687e-05
1573840000,0.707115381840806,-0.7070981801991733,-1.2711033766519888e-05,1.2711342988992459e-05
1573848000,0.7070985290119609,-0.7071150330363317,-1.2711336718766384e-05,1.2711040036895409e-05
1573856000,0.7071070422080414,-0.7071065197587338,-1.694824726675674e-05,1.694825978905685e-05
1573864000,0.7071069862971268,-0.7071065756696854,-1.694824860685559e-05,1.6948258448958884e-05
1573872000,0.7071280816404312,-0.707085480065613,-4.236937511434071e-06,4.237192784969564e-06
1573880000,0.7071027147194642,-0.7071108469955248,-2.1185440499953416e-05,2.1185196852367822e-05
1573888000,0.7071153814980509,-0.7070981798564265,-2.542207106442313e-05,2.542268950945418e-05
1573896000,0.7071070143414461,-0.7071065478030716,-1.2711184185370727e-05,1.2711192572020835e-05
1573904000,0.707102659011318,-0.7071109031092473,-1.2711262477813582e-05,1.271111427914741e-05
1573912000,0.7071027716005704,-0.7071107903435677,-1.6948349626055826e-05,1.694815742921519e-05
1573920000,0.7071153819042792,-0.7070981802626449,-8.474023689763781e-06,8.474229838107502e-06
1573928000,0.7071280535842474,-0.7070855079203683,-1.2710805965390854e-05,1.271157078049762e-05
1573936000,0.7071112570822561,-0.7071023052625072,0.0,0.0
1573944000,0.7071238111727245,-0.7070897507902099,0.0,0.0
1573952000,0.7070985567646438,-0.7071150048780767,-2.1185565072463913e-05,2.1185072277692127e-05
1573960000,0.7071195962590844,-0.7070939652470202,-2.1184934713229877e-05,2.1185702632833065e-05
1573968000,0.7071197419416391,-0.7070938195591547,-2.1184930348339115e-05,2.1185706997564714e-05
1573976000,0.7071154716774585,-0.7070980904872702,-8.474022613875493e-06,8.474230913969483e-06
1573984000,0.7071111391501349,-0.7071024227898757,-1.6948149068763495e-05,1.6948357986408588e-05
1573992000,0.7071112848344321,-0.7071022771037527,-1.6948145576892942e-05,1.6948361478235383e-05
1574000000,0.7071154993659935,-0.7070980622648787,-2.1185057462199774e-05,2.1185579887601287e-05
1574008000,0.7071197141897998,-0.7070938477182412,-1.2710955884391269e-05,1.2711420868749317e-05
1574016000,0.7071195963733368,-0.7070939653612686,-1.6947946357308753e-05,1.6948560692940076e-05
1574024000,0.7071154716139854,-0.7070980904237987,-1.2711032152687682e-05,1.2711344602785207e-05
1574032000,0.7071154716139854,-0.7070980904237987,-1.2711032152687682e-05,1.2711344602785207e-05
1574040000,0.7071238390132644,-0.7070897227198217,-1.2710881732037796e-05,1.2711495017957739e-05
1574048000,0.7071281094934962,-0.7070854520077509,-1.271080496028691e-05,1.2711571785541008e-05
1574056000,0.7071153868041602,-0.7070981750579735,-1.6948047257213765e-05,1.6948459796091725e-05
1574064000,0.7071112568791429,-0.7071023050593968,-1.6948146246946398e-05,1.694836080819043e-05
1574072000,0.7071493785619012,-0.7070641811433354,-8.473616236668153e-06,8.474637261701711e-06
1574080000,0.7070984162443111,-0.707115145623611,-1.6948454015367796e-05,1.6948053038076438e-05
1574088000,0.7071026588082073,-0.7071109029061342,-2.118544217506687e-05,2.1185195177234978e-05
1574096000,0.7071197141009368,-0.7070938476293814,-1.694794353545791e-05,1.6948563514688174e-05
1574104000,0.707102799708528,-0.7071107625405938,-8.474174478613739e-06,8.474079050242616e-06
1574112000,0.7071070142525845,-0.7071065477142102,-1.6948247936806175e-05,1.6948259119007874e-05
1574120000,0.7070942013824256,-0.7071193601321591,-2.118569555833698e-05,2.1184941787980036e-05
1574128000,0.7071238667649393,-0.7070896945605735,-2.1184806761050962e-05,2.1185830579601358e-05
1574136000,0.707115381840806,-0.7070981801991733,-1.2711033766519888e-05,1.2711342988992459e-05
1574144000,0.7071154712712301,-0.7070980900810518,-2.5422067836758266e-05,2.5422692737040116e-05
1574152000,0.7071197139866844,-0.7070938475151333,-2.118493118591603e-05,2.1185706160018482e-05
1574160000,0.7071070143414461,-0.7071065478030716,-1.2711184185370727e-05,1.2711192572020835e-05
1574168000,0.7071281094046322,-0.7070854519188922,-1.694774230329079e-05,1.6948764737105073e-05
1574176000,0.7071153259305508,-0.7070982361107844,-1.271103477160574e-05,1.271134198393098e-05
1574184000,0.7071196245187168,-0.7070939375957085,-4.23698818992702e-06,4.237142108923682e-06
1574192000,0.707106901778259,-0.7071066605948155,0.0,0.0
1574200000,0.7071280811961109,-0.7070854796213195,-2.5421614456997713e-05,2.542314609757133e-05
1574208000,0.7071197139866844,-0.7070938475151333,-2.118493118591603e-05,2.1185706160018482e-05
1574216000,0.7071196243282961,-0.7070939374052947,-1.6947945687247396e-05,1.6948561362977127e-05
1574224000,0.7071196242140437,-0.7070939372910463,-2.1184933875653108e-05,2.1185703470379443e-05
1574232000,0.7071154715251229,-0.7070980903349384,-1.6948045226533935e-05,1.6948461826721892e-05
1574240000,0.7071070423984587,-0.707106519949151,-4.237063584835819e-06,4.237066715412151e-06
1574248000,0.707111256968005,-0.7071023051482576,-1.2711107917986497e-05,1.2711268838897149e-05
1574256000,0.7071195964621998,-0.7070939654501283,-1.2710958000779107e-05,1.2711418752438538e-05
1574264000,0.7071196244171591,-0.7070939374941544,-1.2710957498233157e-05,1.2711419254966255e-05
1574272000,0.7071280534953832,-0.7070855078315096,-1.694774364342957e-05,1.6948763397047038e-05
1574280000,0.7070942016490052,-0.7071193603987481,-8.474277517280385e-06,8.473976009162728e-06
1574288000,0.7071153538856789,-0.7070982081549794,-1.2711034269062822e-05,1.2711342486461731e-05
1574296000,0.7071070422969029,-0.7071065198475952,-1.271118368283372e-05,1.2711193074557496e-05
1574304000,0.7071070144430018,-0.7071065479046273,-4.237063752348248e-06,4.237066547899837e-06
1574312000,0.7070942864232832,-0.7071192757290301,0.0,0.0
1574320000,0.707102799746611,-0.7071107625786773,-4.237089007159844e-06,4.237041292954374e-06
1574328000,0.7071070143414461,-0.7071065478030716,-1.2711184185370727e-05,1.2711192572020835e-05
1574336000,0.7071323241532783,-0.7070812372970895,0.0,0.0
1574344000,0.7070985570693079,-0.7071150051827477,-4.237114429331334e-06,4.237015870344065e-06
1574352000,0.7071112286699616,-0.7071023327611519,-2.5422220372457087e-05,2.5422540204175488e-05
1574360000,0.7071025979588877,-0.7071109639832386,-1.6948353787929587e-05,1.69481532672932e-05
1574368000,0.7070772263803243,-0.7071363346559745,-8.474480940598202e-06,8.473772573723411e-06
1574376000,0.7070009123562204,-0.7072126337622833,-1.6950790654945597e-05,1.694571602100948e-05
1574384000,0.7069460683240073,-0.7072674573017477,-1.2714076748423923e-05,1.2708299352494129e-05
1574392000,0.7068186648293013,-0.7073947799678588,-1.2716365543323279e-05,1.2706009104592876e-05
1574400000,0.7066323257550013,-0.7075809183792735,-8.479808931969811e-06,8.468440784526647e-06
1574408000,0.7063863707417601,-0.7078264583121083,-8.482751537771529e-06,8.465493204307945e-06
1574416000,0.706072212321788,-0.7081398385567012,-4.243255348763974e-06,4.230865894587207e-06
1574424000,0.7056432770689749,-0.7085672625043196,4.161443875426216e-06,-4.14427119200482e-06
1574432000,0.7050660279965255,-0.7091416614648803,8.391631397044667e-06,-8.343402368016469e-06
1574440000,0.7043773337864139,-0.7098257332708151,4.16883492457676e-06,-4.136836256468524e-06
1574448000,0.703449401480621,-0.7107453402304899,2.1289182620799636e-05,-2.1070645032659044e-05
1574456000,0.7023415920563274,-0.7118400717514842,1.26664608828806e-05,-1.249744522012153e-05
1574464000,0.7010223614406564,-0.7131392908713617,1.7110247603962616e-05,-1.6819527873030683e-05
1574472000,0.6993795449198402,-0.714750481213035,2.992963678167593e-05,-2.9285990429079095e-05
1574480000,0.6975097613994061,-0.7165752793664397,3.000604882667181e-05,-2.9207694655801705e-05
1574488000,0.695506452400575,-0.7185198486581386,3.008747619765947e-05,-2.912380760392492e-05
1574496000,0.6933029254687724,-0.7206462746866986,1.2823158193740257e-05,-1.2336611458005598e-05
1574504000,0.6910585689838303,-0.7227987646628314,-4.33109331976946e-06,4.140902417136104e-06
1574512000,0.6887900394501517,-0.7249608823790231,-1.737618866458497e-05,1.6509229624220433e-05
1574520000,0.6865019058452004,-0.7271280029653796,-1.7428131186012967e-05,1.645438660830634e-05
1574528000,0.6842856950632944,-0.7292140195026076,-2.6217194659916983e-05,2.4601901212359825e-05
1574536000,0.6822511151120927,-0.7311179211561644,-2.628564501732877e-05,2.4528752620581233e-05
1574544000,0.6803298034583815,-0.7329061032822238,-3.513324660934108e-05,3.2612901780384976e-05
1574552000,0.6785448253316143,-0.7345589960807057,-2.640936086579476e-05,2.439550158859046e-05
1574560000,0.6767426669938246,-0.7362196429297394,4.323847411761792e-06,-3.974536753007109e-06
1574568000,0.6751042959840077,-0.7377222983680546,4.3326725672573355e-06,-3.9649145345315025e-06
1574576000,0.6733964245674987,-0.7392815805531858,4.341830293902003e-06,-3.954884137387374e-06
1574584000,0.6716223698058942,-0.7408936442295139,1.3183439280002046e-05,-1.1950828300916299e-05
1574592000,0.6698002831346669,-0.7425412989003967,8.786866173654486e-06,-7.92608499984546e-06
1574600000,0.6678669533070346,-0.7442806807805628,2.229367740790536e-05,-2.0004832575813454e-05
1574608000,0.6658620502523895,-0.7460748814588817,2.6794372898134566e-05,-2.3913626522704772e-05
1574616000,0.663758091521421,-0.7479473214225824,1.330895220037844e-05,-1.1810891569035964e-05
1574624000,0.6616403340308818,-0.749821357435808,1.3342298740980215e-05,-1.1773208255778052e-05
1574632000,0.6594677374231698,-0.7517328669570544,4.414957197004221e-06,-3.873080400640303e-06
1574640000,0.657298128936971,-0.7536306586528075,4.426103003545176e-06,-3.860338203216373e-06
1574648000,0.6552093056025566,-0.7554473944016182,-9.05345155060616e-06,7.85217574081071e-06
